Start Year,End Year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PPG
2012,2013,Playoffs,2544,1,LeBron James,1610612748,MIA,23,960,212,432,0.49,36,96,0.38,136,175,0.78,37,156,193,152,41,18,70,43,596,25.91
2012,2013,Playoffs,2225,2,Tony Parker,1610612759,SAS,21,765,167,365,0.46,11,31,0.36,87,112,0.78,14,54,68,146,24,3,53,26,432,20.57
2012,2013,Playoffs,1495,3,Tim Duncan,1610612759,SAS,21,735,151,321,0.47,0,1,0.0,79,98,0.81,54,160,214,40,18,34,42,53,381,18.14
2012,2013,Playoffs,202331,4,Paul George,1610612754,IND,19,780,119,277,0.43,34,104,0.33,93,128,0.73,16,125,141,96,25,9,75,72,365,19.21
2012,2013,Playoffs,2548,5,Dwyane Wade,1610612748,MIA,22,782,144,315,0.46,1,4,0.25,60,80,0.75,38,64,102,105,38,23,58,45,349,15.86
2012,2013,Playoffs,2546,6,Carmelo Anthony,1610612752,NYK,12,481,126,310,0.41,17,57,0.3,77,87,0.88,11,68,79,19,13,2,31,46,346,28.83
2012,2013,Playoffs,201142,7,Kevin Durant,1610612760,OKC,11,485,112,246,0.46,22,70,0.31,93,112,0.83,7,92,99,69,14,12,43,26,339,30.82
2012,2013,Playoffs,201579,8,Roy Hibbert,1610612754,IND,19,694,120,235,0.51,0,0,0.0,83,103,0.81,90,98,188,26,3,37,43,74,323,17.0
2012,2013,Playoffs,2561,9,David West,1610612754,IND,19,689,115,249,0.46,0,3,0.0,72,94,0.77,41,103,144,39,13,15,45,54,302,15.89
2012,2013,Playoffs,202695,10,Kawhi Leonard,1610612759,SAS,21,775,115,211,0.55,23,59,0.39,31,49,0.63,50,140,190,22,37,11,23,40,284,13.52
2012,2013,Playoffs,201939,11,Stephen Curry,1610612744,GSW,12,497,102,235,0.43,42,106,0.4,35,38,0.92,5,41,46,97,20,2,40,35,281,23.42
2012,2013,Playoffs,2547,12,Chris Bosh,1610612748,MIA,23,751,110,240,0.46,15,37,0.4,44,60,0.73,38,129,167,34,23,36,27,67,279,12.13
2012,2013,Playoffs,201588,13,George Hill,1610612754,IND,18,685,83,207,0.4,34,95,0.36,63,76,0.83,5,62,67,77,22,4,40,41,263,14.61
2012,2013,Playoffs,2216,14,Zach Randolph,1610612763,MEM,15,554,99,215,0.46,0,1,0.0,63,94,0.67,59,91,150,24,10,7,31,52,261,17.4
2012,2013,Playoffs,201188,15,Marc Gasol,1610612763,MEM,15,609,93,205,0.45,0,0,0.0,72,90,0.8,25,102,127,48,13,33,18,53,258,17.2
2012,2013,Playoffs,201144,16,Mike Conley,1610612763,MEM,15,575,83,216,0.38,18,64,0.28,71,93,0.76,12,59,71,107,26,5,34,34,255,17.0
2012,2013,Playoffs,1938,17,Manu Ginobili,1610612759,SAS,21,560,77,193,0.4,29,96,0.3,59,80,0.74,9,69,78,105,24,6,55,52,242,11.52
2012,2013,Playoffs,951,18,Ray Allen,1610612748,MIA,23,573,74,172,0.43,39,96,0.41,47,54,0.87,13,51,64,29,12,3,27,42,234,10.17
2012,2013,Playoffs,201980,19,Danny Green,1610612759,SAS,21,669,83,186,0.45,55,114,0.48,12,15,0.8,18,69,87,32,22,23,19,51,233,11.1
2012,2013,Playoffs,201596,20,Mario Chalmers,1610612748,MIA,23,650,76,183,0.42,24,68,0.35,40,53,0.76,10,43,53,71,21,1,38,70,216,9.39
2012,2013,Playoffs,101127,21,Jarrett Jack,1610612744,GSW,12,426,78,154,0.51,7,24,0.29,43,48,0.9,7,46,53,56,11,4,38,26,206,17.17
2012,2013,Playoffs,2430,22,Carlos Boozer,1610612741,CHI,12,431,83,168,0.49,0,1,0.0,31,45,0.69,35,80,115,18,10,1,29,36,197,16.42
2012,2013,Playoffs,101126,23,Nate Robinson,1610612741,CHI,12,404,71,163,0.44,22,65,0.34,31,41,0.76,6,26,32,53,12,2,32,38,195,16.25
2012,2013,Playoffs,203084,24,Harrison Barnes,1610612744,GSW,12,461,72,162,0.44,19,52,0.36,30,35,0.86,18,59,77,15,7,5,16,33,193,16.08
2012,2013,Playoffs,202691,25,Klay Thompson,1610612744,GSW,12,495,76,174,0.44,25,59,0.42,5,6,0.83,9,46,55,22,12,7,24,44,182,15.17
2012,2013,Playoffs,202362,26,Lance Stephenson,1610612754,IND,19,673,69,169,0.41,18,64,0.28,23,37,0.62,14,130,144,63,23,2,36,47,179,9.42
2012,2013,Playoffs,101109,27,Raymond Felton,1610612752,NYK,12,454,72,162,0.44,9,28,0.32,16,24,0.67,17,24,41,56,20,5,20,26,169,14.08
2012,2013,Playoffs,202710,28,Jimmy Butler,1610612741,CHI,12,490,50,115,0.44,15,37,0.4,45,55,0.82,9,53,62,32,15,6,16,26,160,13.33
2012,2013,Playoffs,201935,29,James Harden,1610612745,HOU,6,243,45,115,0.39,15,44,0.34,53,66,0.8,5,35,40,27,12,6,27,18,158,26.33
2012,2013,Playoffs,2747,30,JR Smith,1610612752,NYK,11,351,54,163,0.33,18,66,0.27,31,43,0.72,6,46,52,15,11,5,20,27,157,14.27
2012,2013,Playoffs,201572,31,Brook Lopez,1610612751,BKN,7,263,58,123,0.47,1,1,1.0,39,44,0.89,29,23,52,10,6,21,16,20,156,22.29
2012,2013,Playoffs,2755,32,Kevin Martin,1610612760,OKC,11,323,49,129,0.38,17,46,0.37,39,43,0.91,2,32,34,14,7,3,11,18,154,14.0
2012,2013,Playoffs,2754,32,Tony Allen,1610612763,MEM,15,422,54,125,0.43,2,8,0.25,44,58,0.76,37,54,91,27,30,5,19,48,154,10.27
2012,2013,Playoffs,202704,34,Reggie Jackson,1610612760,OKC,11,368,57,119,0.48,13,43,0.3,26,29,0.9,4,50,54,40,5,6,21,34,153,13.91
2012,2013,Playoffs,101114,35,Deron Williams,1610612751,BKN,7,292,45,106,0.42,17,43,0.4,37,45,0.82,1,21,22,59,7,4,21,17,144,20.57
2012,2013,Playoffs,202390,36,Gary Neal,1610612759,SAS,21,390,52,135,0.38,23,66,0.35,16,16,1.0,1,44,45,15,3,1,13,33,143,6.81
2012,2013,Playoffs,201171,37,Carl Landry,1610612744,GSW,12,246,52,100,0.52,0,0,0.0,38,52,0.73,22,40,62,17,7,2,19,29,142,11.83
